SN_CODE,SN_CITY,SN_PROV,SN_LEVEL,SN_LNG,SN_NAME,SN_LAT,ST_PRICEURL,SN_THEME
1000202,呼伦贝尔,内蒙古,4A,119.727804,世界反法西斯战争海拉尔纪念园,49.250749,,古迹遗址
1000203,巴彦淖尔,内蒙古,,107.318717,浩彤水上乐园,40.80725,,主题乐园
1000204,呼和浩特,内蒙古,,111.660714,大召寺,40.804868,3,宗教祈福
1000205,呼伦贝尔,内蒙古,,119.74511,达尔吉林寺,49.219444,,宗教祈福
1000206,呼和浩特,内蒙古,,110.998588,哈素海冰雪世界,40.626991,,滑雪
1000207,锡林郭勒盟,内蒙古,,116.498639,南沙梁景区,42.196601,,草原沙漠
1000208,鄂尔多斯,内蒙古,,111.221085,准域娱乐水上乐园,39.878958,,
1000209,锡林郭勒盟,内蒙古,,116.02734,乌珠穆沁草原,43.939705,,草原沙漠
1000210,呼伦贝尔,内蒙古,5A,118.055468,满洲里国门景区,49.50612,78,
1000211,赤峰,内蒙古,,118.930761,紫蒙湖风景区,42.297112,35,湖光山色
1000213,呼伦贝尔,内蒙古,4A,119.246306,呼和诺尔草原旅游区,49.306137,28,草原沙漠
1000214,呼和浩特,内蒙古,,111.980448,山水樱桃庄园,40.906458,,主题乐园
1000215,呼和浩特,内蒙古,,111.745356,麦森薰衣草庄园,40.598703,,田园度假
1000216,呼和浩特,内蒙古,,111.668553,东方罗玛国际商务会馆,40.817297,33,温泉
1000217,呼和浩特,内蒙古,,111.663508,碧海云天商务会馆（中山西路店）,40.814312,,门票
1000218,阿拉善盟,内蒙古,,105.695683,腾格里沙漠天鹅湖景区,38.843075,,草原沙漠
1000219,锡林郭勒盟,内蒙古,,116.136948,突厥石人墓,44.078961,,古迹遗址
1000221,乌海,内蒙古,,106.831999,胡杨岛,39.683177,,海滨岛屿
1000222,兴安盟,内蒙古,,119.97759,阿尔山奥伦布坎风景区,46.919084,,
1000223,呼伦贝尔,内蒙古,,123.17247,达尔滨湖国家森林公园,49.494771,,
1000224,阿拉善盟,内蒙古,,102.443856,红墩子峡谷,40.186229,,
1000225,通辽,内蒙古,,122.269012,英皇儿童城,43.669439,,主题乐园
1000226,阿拉善,内蒙古,,105.382315,英雄会COART音乐嘉年华,38.776593,,赛事演出
1000227,鄂尔多斯,内蒙古,,109.960068,2017第2届草原国际舞蹈嘉年华,39.837948,,
1000228,上海,内蒙古,,106.677657,马兰花草原,38.386969,80,
1000229,锡林郭勒盟,内蒙古,4A,116.075376,贝子庙,43.956841,,宗教祈福
1000230,呼伦贝尔,内蒙古,,123.817278,达拓跋焘森林公园,50.348755,,
1000231,赤峰,内蒙古,,119.557845,木叶山旅游区,43.259168,,
1000232,呼伦贝尔,内蒙古,,119.408817,赛佰诺马场,50.213121,,骑行
1000233,赤峰,内蒙古,,118.905499,打虎石水库,41.571041,,
1000234,呼和浩特,内蒙古,,111.473685,老牛湾,39.924046,,
1000235,呼伦贝尔,内蒙古,,120.11734,三河马科技博物馆,50.461222,,
1000236,呼和浩特,内蒙古,,111.669991,中铭奇石博物馆,40.803689,,博物馆
1000237,通辽,内蒙古,,119.760822,科尔沁草原,49.201636,,草原沙漠
1000238,赤峰,内蒙古,,118.9998618433,梵宗寺,42.9685716664,,宗教祈福
1000239,阿拉善盟,内蒙古,,100.099512,怪树林,41.6938,,
1000240,巴彦淖尔,内蒙古,,107.435388,碧海云天休闲会馆（临河店）,40.763919,,温泉
1000241,鄂尔多斯,内蒙古,4A,109.365877,苏泊罕大草原,39.675573,90,草原沙漠
1000242,赤峰,内蒙古,,119.344251,辽中京遗址,41.604186,,古迹遗址
1000243,通辽,内蒙古,,122.260363,莫力庙水库沙湖旅游区,43.633756,,
1000244,阿拉善盟,内蒙古,4A,104.938954,通湖草原,37.603211,,草原沙漠
1000245,赤峰,内蒙古,4A,117.548204,达里诺尔湖,43.264269,,湖光山色
1000247,鄂尔多斯,内蒙古,5A,109.793443,成吉思汗陵旅游景区,39.376817,8,
1000248,锡林郭勒盟,内蒙古,,116.136948,锡林郭勒大草原彩跑文化节,44.078961,,草原沙漠
1000249,呼和浩特,内蒙古,,111.864173,呼和浩特国花牡丹园,40.936054,,
1000250,阿拉善盟,内蒙古,,100.984228,弱水金沙湾胡杨林,41.828243,,
1000251,鄂尔多斯,内蒙古,5A,109.968018,鄂尔多斯响沙湾,40.249002,106,草原沙漠
1000252,阿拉善盟,内蒙古,,105.791092,内蒙古沙鹰国际射击俱乐部,38.773608,,
1000253,呼伦贝尔,内蒙古,3A,119.826839,巴彦呼硕草原旅游区,48.867602,,
1000254,兴安盟,内蒙古,,120.176384,阿尔山白狼峰景区,47.020751,,
1000255,阿拉善盟,内蒙古,,102.443856,巴丹吉林沙漠,40.186229,,
1000257,呼和浩特,内蒙古,,111.53763,创智文化健身旅游园,40.958582,,团队拓展
1000258,赤峰,内蒙古,4A,122.210641,大青沟,42.768805,,湖光山色
1000259,鄂尔多斯,内蒙古,,110.379586,蒙根花农乐谷,40.329386,,主题乐园
1000261,锡林郭勒盟,内蒙古,,117.81045,乌里雅斯太山,45.826665,,
