rooms,area,floors,location,nearbySubway,price
7,126.0,18,天心,0,9031
9,193.0,6,天心,1,9067
6,86,28,星沙,0,7441
5,56.0,18,雨花,0,9285
7,123.0,18,星沙,0,7138
7,114.0,18,天心,0,7000
7,143.0,6,星沙,0,9300
7,130.0,21,开福,0,10769
6,88.0,32,开福,1,12727
3,40.0,31,雨花,1,8000
7,130.0,18,雨花,0,12692
9,120.0,17,雨花,0,8316
6,128.0,18,开福,1,12500
7,89.08,33,芙蓉,0,9205
4,35.0,30,雨花,1,13714
7,119.0,33,岳麓,1,12436
8,148.0,7,岳麓,0,23310
6,102.0,25,芙蓉,1,10784
5,93.0,18,雨花,0,10215
5,95.0,30,开福,1,16842
7,137.0,7,芙蓉,1,6569
5,100.0,32,开福,0,9800
6,90.0,27,天心,1,11666
8,160.0,7,开福,0,10937
7,114.0,12,天心,1,12105
13,317.0,4,岳麓,0,9148
6,89.0,18,天心,0,8539
4,56.0,6,雨花,0,6875
8,157.0,11,开福,1,8917
3,41.0,15,雨花,0,7756
6,102.0,7,雨花,0,8627
5,90.0,18,长沙周边,0,9555
3,41.0,17,开福,1,11951
9,175.0,32,岳麓,0,7142
5,78.65,33,星沙,0,7501
6,91.0,11,岳麓,0,12637
6,78.0,7,芙蓉,0,9615
3,51.4,4,雨花,0,8171
7,136.0,11,雨花,1,11617
7,123.0,22,雨花,1,12910
7,156.0,29,雨花,1,10769
6,88.0,22,芙蓉,1,12136
5,92.0,30,雨花,1,11413
5,118.22,33,芙蓉,1,11842
5,72.0,31,雨花,1,10416
5,80.0,9,天心,0,6000
5,79.0,16,天心,0,8037
7,100.0,7,雨花,0,8400
12,317.0,1,星沙,0,14984
5,89.0,28,星沙,0,7056
8,208.0,1,雨花,1,16250
8,172.0,33,雨花,1,18895
6,96.0,25,星沙,0,8645
9,126.0,20,岳麓,0,9349
8,140.0,17,天心,1,8285
7,101.0,7,雨花,0,7326
6,97.0,7,雨花,0,7731
7,121.0,7,雨花,0,7603
7,119.0,7,雨花,0,7478
6,93.0,7,雨花,0,7935
7,104.0,6,雨花,0,8269
8,136.0,33,岳麓,0,11691
27,477.0,7,星沙,0,6285
7,120.0,34,岳麓,0,9833
7,113.0,33,岳麓,0,11053
8,125.0,33,岳麓,0,10400
7,128.0,11,雨花,1,10156
6,91.0,17,岳麓,0,10417
7,122.0,32,岳麓,0,15573
7,115.0,33,岳麓,0,15652
8,150.0,6,岳麓,0,15333
3,51.09,32,岳麓,0,9982
7,125.0,1,星沙,0,7584
8,94.0,7,雨花,0,9765
8,154.0,24,雨花,0,9220
5,80.0,30,雨花,0,10000
7,135.0,33,开福,1,10488
4,67.0,15,雨花,1,9552
6,92.0,31,雨花,0,11086
6,100.0,6,雨花,0,6600
8,154.0,33,雨花,0,13311
7,117.0,32,星沙,0,7692
7,136,11,雨花,1,11617
8,140.0,6,雨花,1,20428
7,141.0,32,雨花,1,11205
9,128.0,10,雨花,1,11328
7,142.44,27,雨花,0,8073
6,90.0,6,开福,1,11111
8,153.0,11,长沙周边,0,6209
8,158.0,18,天心,1,8860
7,158.0,22,天心,1,12658
7,130.0,30,天心,1,13000
5,90.0,17,开福,1,12444
8,120.0,32,长沙周边,0,7483
7,128.0,18,长沙周边,0,6937
6,116.0,25,星沙,0,7482
3,51.0,36,岳麓,0,15882
10,220.0,6,天心,0,4909
4,60.0,6,天心,1,6833
6,88.0,30,星沙,0,8636
3,61,23,芙蓉,1,9180
